2025-02-15T14:08:05.844Z [ERROR]: Error Response - Status: 403, Message: Account blocked: Contact support for details, Error: No additional details
2025-02-15T14:10:27.476Z [ERROR]: Error Response - Status: 403, Message: Account Not Approved: Contact support for details, Error: No additional details
2025-02-15T14:10:29.698Z [ERROR]: Error Response - Status: 500, Message: Failed to refresh tokens, Error: No additional details
2025-02-15T14:10:29.705Z [ERROR]: Error Response - Status: 500, Message: Failed to refresh tokens, Error: No additional details
2025-02-15T14:24:29.875Z [ERROR]: Error Response - Status: 401, Message: Login failed. Please check your credentials., Error: No additional details
2025-02-15T14:24:39.649Z [ERROR]: Error Response - Status: 403, Message: Account Not Approved: nothing, Error: No additional details
2025-02-15T14:24:41.756Z [ERROR]: Error Response - Status: 401, Message: Login failed. Please check your credentials., Error: No additional details
2025-02-15T14:24:46.907Z [ERROR]: Error Response - Status: 403, Message: Account Not Approved: nothing, Error: No additional details
2025-02-15T14:25:06.253Z [ERROR]: Error Response - Status: 401, Message: Login failed. Please check your credentials., Error: No additional details
2025-02-15T14:25:33.646Z [ERROR]: Error Response - Status: 401, Message: Login failed. Please check your credentials., Error: No additional details
2025-02-15T14:26:04.185Z [ERROR]: Error Response - Status: 401, Message: Login failed. Please check your credentials., Error: No additional details
2025-02-15T14:26:04.192Z [ERROR]: Error Response - Status: 400, Message: Refresh token is required., Error: No additional details
2025-02-15T14:28:40.704Z [ERROR]: Error Response - Status: 401, Message: Login failed. Please check your credentials., Error: No additional details
2025-02-15T14:28:40.711Z [ERROR]: Error Response - Status: 400, Message: Refresh token is required., Error: No additional details
2025-02-15T14:28:44.321Z [ERROR]: Error Response - Status: 401, Message: Login failed. Please check your credentials., Error: No additional details
2025-02-15T14:28:44.335Z [ERROR]: Error Response - Status: 400, Message: Refresh token is required., Error: No additional details
2025-02-15T14:28:47.454Z [ERROR]: Error Response - Status: 401, Message: Login failed. Please check your credentials., Error: No additional details
2025-02-15T14:28:47.460Z [ERROR]: Error Response - Status: 400, Message: Refresh token is required., Error: No additional details
2025-02-15T14:31:51.974Z [ERROR]: Error Response - Status: 401, Message: Login failed. Please check your credentials., Error: No additional details
2025-02-15T14:31:51.989Z [ERROR]: Error Response - Status: 400, Message: Refresh token is required., Error: No additional details
2025-02-15T17:43:03.435Z [ERROR]: Error Response - Status: 400, Message: Refresh token is required., Error: No additional details
2025-02-15T17:43:03.453Z [ERROR]: Error Response - Status: 400, Message: Refresh token is required., Error: No additional details
2025-02-15T17:43:51.147Z [ERROR]: Error Response - Status: 403, Message: Account Not Approved: nothing, Error: No additional details
2025-02-15T17:44:07.411Z [ERROR]: Error Response - Status: 401, Message: Login failed. Please check your credentials., Error: No additional details
